#   wl        direct       diffuse (W/m^2/mic)
1.3950     0.0309361     0.0020097
1.3975    51.0783463     3.3055959
1.4000     5.2602000     0.3391359
1.4025     0.3883733     0.0249450
1.4050     0.8896349     0.0569265
1.4075     3.0661242     0.1954633
1.4100     1.6289054     0.1034542
1.4125     5.1623459     0.3265349
1.4150    22.5946674     1.4233847
1.4175    21.8465328     1.3721153
1.4200     4.9074597     0.3072991
1.4225     6.3463430     0.3961455
1.4250    24.3899307     1.5176504
1.4275    15.4502649     0.9581974
1.4300    30.5798664     1.8902459
1.4325    13.9237356     0.8582885
1.4350    35.6365509     2.1906424
1.4375    19.6512165     1.2052978
1.4400    20.8843079     1.2780823
1.4425    16.3546658     0.9986581
1.4450    56.4263344     3.4379458
1.4475    90.4108810     5.4964557
1.4500    10.9355879     0.6633666
1.4525    70.8858185     4.2936125
1.4550    56.5832710     3.4222164
1.4575   107.5885086     6.4974995
1.4600    61.3502350     3.6996341
1.4625    72.0274124     4.3386416
1.4650    56.0767822     3.3740959
1.4675    50.6287079     3.0424047
1.4700    63.0913162     3.7864962
1.4725    18.3756351     1.1016330
1.4750    45.6066856     2.7311780
1.4775    84.7844543     5.0744576
1.4800    58.2408600     3.4838130
1.4825    67.5440903     4.0366607
1.4850   101.0755539     6.0352011
1.4875    80.8377686     4.8200741
1.4900    99.2037735     5.9069438
1.4925   102.7731400     6.1140985
1.4950   118.9692917     7.0714421
1.4975   150.3916321     8.9298906
1.5000   168.6743317    10.0051394
1.5025   145.9844055     8.6503887
1.5050   154.4951630     9.1453552
1.5075   167.5039520     9.9069805
1.5100   180.8358459    10.6864862
1.5125   166.8540649     9.8519602
1.5150   155.8464355     9.1943359
1.5175   160.5307770     9.4628220
1.5200   168.5820618     9.9292583
1.5225   177.8011780    10.4619398
1.5250   164.7398224     9.6839027
1.5275   168.0536194     9.8691092
1.5300   168.6760712     9.8960848
1.5325   176.1107788    10.3239803
1.5350   170.5109100     9.9877663
1.5375   173.1786499    10.1263399
1.5400   172.4271393    10.0595913
1.5425   171.6963654     9.9943733
1.5450   172.1379089     9.9975367
1.5475   172.3349457     9.9865503
1.5500   173.2304688    10.0160036
1.5525   171.2010345     9.8734016
1.5550   171.5021210     9.8655987
1.5575   171.0024109     9.8119211
1.5600   170.3941345     9.7523127
1.5625   168.9595337     9.6488924
1.5650   168.6048584     9.6075058
1.5675   164.7773590     9.3658686
1.5700   154.8681030     8.7806358
1.5725   153.2269287     8.6673040
1.5750   160.1602936     9.0383997
1.5775   153.8480682     8.6579180
1.5800   158.0194855     8.8678999
1.5825   161.1806946     9.0244598
1.5850   161.9897766     9.0488892
1.5875   162.8202820     9.0701590
1.5900   161.5291901     8.9734430
1.5925   161.3704376     8.9413834
1.5950   160.8289337     8.8883562
1.5975   157.4292908     8.6794348
1.6000   156.8156586     8.6247454
1.6025   147.4173584     8.0858078
1.6050   148.4118347     8.1183071
1.6075   152.6921539     8.3285770
1.6100   145.4710693     7.9121103
1.6125   148.7239838     8.0673122
1.6150   152.5136566     8.2507143
1.6175   153.3730621     8.2737560
1.6200   153.6143036     8.2634249
1.6225   153.2268372     8.2207146
1.6250   152.2795410     8.1482620
1.6275   151.6324768     8.0922318
1.6300   150.7628937     8.0246696
1.6325   149.2217865     7.9205627
1.6350   148.5639343     7.8638082
1.6375   147.0238800     7.7619934
1.6400   144.9787292     7.6341243
1.6425   143.8737488     7.5528030
1.6450   142.5819397     7.4622173
1.6475   141.8793945     7.4040098
1.6500   141.2181549     7.3483386
1.6525   140.7736664     7.3042030
1.6550   141.2370148     7.3072977
1.6575   141.8074493     7.3159170
1.6600   142.4428253     7.3277826
1.6625   141.0602417     7.2361107
1.6650   130.4239044     6.6715655
1.6675   137.5164642     7.0145435
1.6700   139.4760284     7.0945139
1.6725   137.8086548     6.9858036
1.6750   137.1246185     6.9275031
1.6775   134.9400940     6.7971125
1.6800   136.4062805     6.8508492
1.6825   135.3859253     6.7787156
1.6850   132.2230377     6.6000757
1.6875   133.2699738     6.6330214
1.6900   127.3072205     6.3179088
1.6925   131.4688873     6.5046148
1.6950   125.1034622     6.1709099
1.6975   124.7033997     6.1326008
1.7000   129.7691345     6.3624849
1.7025   125.3371582     6.1267252
