#   wl        direct       diffuse (W/m^2/mic)
2.1200    55.7295761     1.3826784
2.1225    55.4860725     1.3751088
2.1250    54.9915161     1.3613465
2.1275    54.7548866     1.3540010
2.1300    54.3591766     1.3427446
2.1325    55.3631668     1.3658851
2.1350    55.1096153     1.3579808
2.1375    55.4227982     1.3640600
2.1400    55.1726112     1.3562814
2.1425    54.8642273     1.3470880
2.1450    54.6141739     1.3393633
2.1475    53.9336853     1.3214368
2.1500    53.6795273     1.3139815
2.1525    49.9115829     1.2201662
2.1550    49.6852913     1.2130711
2.1575    52.1344109     1.2712303
2.1600    49.0304489     1.1940181
2.1625    48.7992859     1.1870205
2.1650    50.1912193     1.2194833
2.1675    49.9522476     1.2121472
2.1700    51.1642380     1.2400002
2.1725    50.9122314     1.2323533
2.1750    48.9523277     1.1834363
2.1775    48.7202072     1.1765120
2.1800    47.6433678     1.1492298
2.1825    47.4095421     1.1420434
2.1850    46.2416496     1.1124198
2.1875    46.0123749     1.1055579
2.1900    48.5236473     1.1644897
2.1925    48.2746964     1.1572503
2.1950    47.2103844     1.1305224
2.1975    47.2134933     1.1291050
2.2000    42.5039711     1.0151514
2.2025    42.5378952     1.0148786
2.2050    45.8686485     1.0931845
2.2075    45.6814804     1.0868096
2.2100    48.5159225     1.1522212
2.2125    46.8353271     1.1103625
2.2150    46.6359596     1.1037084
2.2175    47.4996796     1.1221994
2.2200    47.3075485     1.1157306
2.2225    46.5747147     1.0965596
2.2250    46.3788300     1.0900811
2.2275    46.5160637     1.0914382
2.2300    46.3128052     1.0848243
2.2325    45.2288322     1.0576438
2.2350    45.0409775     1.0514779
2.2375    45.1553955     1.0523782
2.2400    44.9603653     1.0460788
2.2425    44.0466080     1.0231148
2.2450    43.8546104     1.0169702
2.2475    44.1303139     1.0216717
2.2500    43.9362297     1.0155056
2.2525    41.9910049     0.9692161
2.2550    41.8032990     0.9635640
2.2575    41.1864090     0.9480458
2.2600    41.0006142     0.9424820
2.2625    42.4809341     0.9751780
2.2650    42.2875328     0.9694157
2.2675    42.0941010     0.9636713
2.2700    39.7719345     0.9092725
2.2725    39.5883102     0.9038466
2.2750    39.7375984     0.9060262
2.2775    39.5523949     0.9005864
2.2800    39.7512398     0.9038869
2.2825    39.5642052     0.8984185
2.2850    39.8432617     0.9035321
2.2875    39.6539879     0.8980259
